Title,Original_Price,Offer_Price,Stars_out_of_5,Ratings,Flipkart_Assured,Specification
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Lavender, 128 GB)","₹69,999","₹29,999",4.3,"1,32,862 Ratings & 12,915 Reviews",No,8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion BatterySnapdragon 888 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"Infinix HOT 30 5G (Knight Black, 128 GB)","₹14,999","₹12,499",4.2,"4,728 Ratings & 435 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.22 cm (6.78 inch) Full HD+ Display50 MP + AI Lens | 8MP Front Camera6000 mAh Lithium Ion Polymer BatteryDimensity 6020 5G Processor1 Year on Handset and 6 Months on Accessories
"realme Narzo 60 5G (?Cosmic Black, 128 GB)",N/A,"₹19,999",4.3,"3,850 Ratings & 288 Reviews",Yes,8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Display64MP Rear Camera5000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories
"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)","₹24,499","₹16,030",4.2,"2,391 Ratings & 205 Reviews",Yes,6 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display50MP Rear Camera6000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories
"REDMI Note 13 5G (Arctic White, 256 GB)","₹22,999","₹18,999",4.1,732 Ratings & 48 Reviews,No,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP Rear Camera5000 mAh Battery1 Year Brand Warranty
"OnePlus 12R (Cool Blue, 128 GB)","₹39,999","₹38,892",4.6,257 Ratings & 36 Reviews,Yes,8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty
"IQOO Z6 Lite 5G (With Charger) (Stellar Green, 128 GB)","₹19,999","₹12,575",4.3,"5,576 Ratings & 363 Reviews",Yes,6 GB RAM | 128 GB ROM16.97 cm (6.68 inch) Display50MP Rear Camera5000 mAh Battery1 Year
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹17,499","₹12,149",4.2,"4,086 Ratings & 251 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.76 cm (6.6 inch) Full HD Display50MP + 50MP | 13MP + 13MP Dual Front Camera6000 mAh BatterySamsung Exynos 1330 Processor1 year for handset and 6 month for accessories
"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)","₹24,499","₹15,998",4.2,"2,391 Ratings & 205 Reviews",Yes,6 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display50MP Rear Camera6000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories
"Infinix HOT 30 5G (Miami Orange, 128 GB)","₹16,999","₹12,999",4.2,"25,996 Ratings & 2,313 Reviews",Yes,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.22 cm (6.78 inch) Full HD+ Display50 MP + AI Lens | 8MP Front Camera6000 mAh Lithium Ion Polymer BatteryDimensity 6020 5G Processor1 Year on Handset and 6 Months on Accessories
"Infinix HOT 30 5G (Aurora Blue, 128 GB)","₹16,999","₹12,999",4.2,"25,996 Ratings & 2,313 Reviews",Yes,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.22 cm (6.78 inch) Full HD+ Display50 MP + AI Lens | 8MP Front Camera6000 mAh Lithium Ion Polymer BatteryDimensity 6020 5G Processor1 Year on Handset and 6 Months on Accessories
"REDMI Note 13 5G (Prism Gold, 256 GB)","₹22,999","₹19,999",4.1,732 Ratings & 48 Reviews,Yes,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP Rear Camera5000 mAh Battery1 Year Brand Warranty
"REDMI Note 13 Pro 5G (Midnight Black, 256 GB)","₹30,999","₹27,999",4.3,"7,291 Ratings & 839 Reviews",Yes,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Nothing Phone (2) (Dark Grey, 256 GB)","₹54,999","₹36,999",4.4,"12,480 Ratings & 1,596 Reviews",Yes,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹17,490","₹11,990",4.2,"37,584 Ratings & 2,524 Reviews",Yes,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹21,999","₹20,810",4.4,"58,750 Ratings & 4,140 Reviews",Yes,8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
"Tecno Spark Go 2023 (Endless Black, 64 GB)","₹9,999","₹6,999",4.1,331 Ratings & 18 Reviews,Yes,"4 GB RAM | 64 GB ROM16.66 cm (6.56 inch) HD+ Display13MP Rear Camera5000 mAh Battery2?GHz, Quad Core Processor ProcessorDomestic Warranty of 1 Year Available for handset and 6 month for Accessories."
"OnePlus 12R (Cool Blue, 256 GB)","₹45,999","₹45,450",4.6,99 Ratings & 7 Reviews,Yes,16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹27,999","₹22,999",4.3,"32,129 Ratings & 4,091 Reviews",Yes,8 GB RAM | 128 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh BatteryDimensity 7030 Processor1 Year on Handset and 6 Months on Accessories
"itel A70 | 5000 mAh Battery |13MP Dual Rear Camera | Type C Charging (Azure Blue, 64 GB)","₹7,299","₹6,289",4.4,105 Ratings & 5 Reviews,Yes,4 GB RAM | 64 GB ROM16.66 cm (6.56 inch) Display13MP Rear Camera5000 mAh Battery1 year manufacturer Warranty
"Apple iPhone 13 (Green, 128 GB)","₹59,900","₹52,999",4.7,"2,78,146 Ratings & 13,547 Reviews",Yes,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
"Apple iPhone 15 (Blue, 128 GB)","₹79,900","₹72,999",4.6,"16,874 Ratings & 1,160 Reviews",Yes,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 256 GB)","₹74,999","₹33,999",4.3,"1,32,862 Ratings & 12,915 Reviews",No,8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion BatterySnapdragon 888 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,"₹12,499",4.2,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
"REDMI Note 13 Pro 5G (Arctic White, 128 GB)","₹28,999","₹25,999",4.3,"7,291 Ratings & 839 Reviews",Yes,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"itel A70 | 5000 mAh Battery |13MP Dual Rear Camera | Type C Charging (Starlish Black, 64 GB)","₹7,299","₹6,249",4.4,105 Ratings & 5 Reviews,Yes,4 GB RAM | 64 GB ROM16.66 cm (6.56 inch) Display13MP Rear Camera5000 mAh Battery1 year manufacturer Warranty
"realme 12 Pro+ 5G (Explorer Red, 256 GB)","₹37,999","₹33,999",4.5,"1,560 Ratings & 258 Reviews",Yes,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"realme 12 Pro+ 5G (Submarine Blue, 256 GB)","₹37,999","₹33,999",4.5,"1,560 Ratings & 258 Reviews",No,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"OnePlus 12R (Irony Gray, 256 GB)","₹45,999","₹45,828",4.6,99 Ratings & 7 Reviews,Yes,16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹19,999","₹18,988",4.4,"58,750 Ratings & 4,140 Reviews",Yes,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
"Nothing Phone (2) (White, 128 GB)","₹49,999","₹39,999",4.4,"7,362 Ratings & 966 Reviews",Yes,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty
"POCO X6 5G (Mirror Black, 256 GB)","₹26,999","₹22,999",4.3,811 Ratings & 133 Reviews,Yes,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme 12 Pro+ 5G (Submarine Blue, 256 GB)","₹35,999","₹31,999",4.5,"4,806 Ratings & 975 Reviews",No,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"REDMI Note 12 (Sunrise Gold, 128 GB)","₹20,999","₹12,999",4.1,"30,472 Ratings & 2,494 Reviews",Yes,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Super AMOLED Display50MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatterySnapdragon 685 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Nothing Phone (2) (Dark Grey, 512 GB)","₹59,999","₹38,999",4.4,"12,480 Ratings & 1,596 Reviews",Yes,12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty
"Nothing Phone (2) (White, 256 GB)","₹54,999","₹36,999",4.4,"12,480 Ratings & 1,596 Reviews",Yes,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty
"SAMSUNG Galaxy F54 5G (Meteor Blue, 256 GB)","₹35,999","₹24,999",4.2,"23,261 Ratings & 2,128 Reviews",No,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display108MP + 8MP + 2MP | 32MP Front Camera6000 mAh BatteryOcta Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"itel A70 | 5000 mAh Battery |13MP Dual Rear Camera | Type C Charging (Brilliant Gold, 64 GB)","₹7,299","₹6,290",4.4,105 Ratings & 5 Reviews,Yes,4 GB RAM | 64 GB ROM16.66 cm (6.56 inch) Display13MP Rear Camera5000 mAh Battery1 year manufacturer Warranty
"itel A70 | 5000 mAh Battery |13MP Dual Rear Camera | Type C Charging (Field Green, 64 GB)","₹7,299","₹6,241",4.4,105 Ratings & 5 Reviews,Yes,4 GB RAM | 64 GB ROM16.66 cm (6.56 inch) Display13MP Rear Camera5000 mAh Battery1 year manufacturer Warranty
"itel S23 (Mystery White, 128 GB)","₹10,999","₹6,099",4,305 Ratings & 19 Reviews,Yes,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryUnisoc Tiger T606 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"realme C67 5G (Sunny Oasis, 128 GB)","₹17,999","₹14,499",4.2,692 Ratings & 67 Reviews,Yes,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme C67 5G (Sunny Oasis, 128 GB)","₹16,999","₹11,999",4.4,"3,155 Ratings & 228 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI Note 13 Pro 5G (Coral Purple, 256 GB)","₹30,999","₹27,999",4.3,"7,291 Ratings & 839 Reviews",Yes,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme C67 5G (Dark Purple, 128 GB)","₹17,999","₹14,499",4.2,692 Ratings & 67 Reviews,Yes,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Motorola G32 (Rose Gold, 128 GB)","₹18,999","₹9,999",4.1,"1,13,007 Ratings & 9,470 Reviews",No,8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year on Handset and 6 Months on Accessories
"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)","₹25,999","₹17,999",4.2,190 Ratings & 7 Reviews,Yes,8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display50MP Rear Camera6000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories
"realme Narzo N53 (Feather Black, 128 GB)","₹12,999","₹10,000",4.2,"4,582 Ratings & 234 Reviews",No,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic 1 Year on Handset and 6 Months on Accessories
"REDMI A3 (Midnight Black, 64 GB)","₹9,999","₹7,299",4.1,145 Ratings & 12 Reviews,Yes,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,"₹18,988",4.4,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
"LAVA Blaze (Glass Black, 64 GB)","₹9,999","₹5,996",4,"1,292 Ratings & 332 Reviews",Yes,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP Triple AI Camera + 8MP front camera | 8MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Helio A22 Processor1 Year Handset Warranty and 6 Months Warranty on Accessories
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)","₹13,499","₹7,504",4.1,"10,420 Ratings & 604 Reviews",Yes,4 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display13MP + 5MP | 13MP Dual Front Camera5000 mAh BatteryMediaTek Helio P35 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories
"SAMSUNG Galaxy M04 (Light Green, 128 GB)","₹13,499","₹7,672",4.1,"10,420 Ratings & 604 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 64 GB16.51 cm (6.5 inch) HD+ Display13MP + 2MP5000 mAh BatteryMediaTek Helio P35 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories
"REDMI 10 Power (Power Black, 128 GB)","₹18,999","₹9,989",4.2,"5,887 Ratings & 324 Reviews",Yes,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 5MP Front Camera6000 mAh Battery12 Months Warranty
"Tecno Spark Go 2024 (Mystery White, 64 GB)","₹7,999","₹7,998",4.2,164 Ratings & 12 Reviews,Yes,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display13MP + 0.08MP | 8MP Front Camera5000 mAh BatteryUnisoc T606 ProcessorDomestic Warranty of 12 Months on Phone & 6 Months on Accessories
"Tecno Spark Go 2024 (Gravity Black, 64 GB)","₹7,999","₹6,995",4.2,164 Ratings & 12 Reviews,Yes,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display13MP + 0.08MP | 8MP Front Camera5000 mAh BatteryUnisoc T606 ProcessorDomestic Warranty of 12 Months on Phone & 6 Months on Accessories
"Tecno Spark Go 2024 (Magic Skin Green, 64 GB)","₹8,499","₹7,248",4.2,164 Ratings & 12 Reviews,Yes,4 GB RAM | 64 GB ROM16.66 cm (6.56 inch) HD+ Display13MP + 0.8MP | 8MP Front Camera5000 mAh BatteryUnisoc T606 ProcessorDomestic Warranty of 12 Months on Phone & 6 Months on Accessories
"POCO C55 (Cool Blue, 64 GB)","₹11,999","₹5,999",4.2,"1,10,099 Ratings & 6,848 Reviews",Yes,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Tecno Spark 10 Pro (Pearl White, 128 GB)","₹13,999","₹9,990",4.1,380 Ratings & 26 Reviews,Yes,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera | 32MP Front Camera5000 mAh BatteryMediatek MT6769H Helio G88 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)",N/A,N/A,4.2,"16,801 Ratings & 1,156 Reviews",No,6 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 year
"REDMI 13C (Stardust Black, 256 GB)","₹15,999","₹11,499",4.1,723 Ratings & 55 Reviews,Yes,8 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year
"REDMI 12 (Jade Black, 128 GB)","₹14,999","₹9,499",4.3,"95,346 Ratings & 5,204 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"REDMI A3 (Lake Blue, 128 GB)","₹11,999","₹9,299",3.8,50 Ratings & 9 Reviews,Yes,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"SAMSUNG Galaxy A34 5G (Awesome Graphite, 256 GB)","₹39,499","₹26,499",4.2,"5,895 Ratings & 498 Reviews",Yes,"8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display48MP + 8MP + 5MP | 13MP Front Camera5000 mAh Li-ion Battery BatteryDimensity 1080, Octa Core Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories"
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹24,499","₹15,999",4.2,"27,317 Ratings & 2,269 Reviews",Yes,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1280 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"vivo Y16 (Steller Black, 64 GB)","₹15,999","₹9,900",4.3,"6,938 Ratings & 378 Reviews",Yes,4 GB RAM | 64 GB ROM16.54 cm (6.51 inch) Display13MP Rear Camera5000 mAh Battery1 Year of Device & 6 Months for In-Box Accessories
"Motorola Edge 40 Neo (Peach Fuzz, 256 GB)","₹29,999","₹24,999",4.3,"37,801 Ratings & 5,036 Reviews",Yes,12 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh BatteryDimensity 7030 Processor1 Year on Handset and 6 Months on Accessories
"Infinix SMART 7 (Emerald Green, 128 GB)","₹10,999","₹7,799",4.3,"1,35,535 Ratings & 6,843 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 5MP Front Camera6000 mAh BatteryUnisoc Spreadtrum SC9863A1 Processor1 Year on Handset and 6 Months on Accessories
"Infinix SMART 7 (Night Black, 128 GB)","₹10,999","₹7,799",4.3,"1,35,535 Ratings & 6,843 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 5MP Front Camera6000 mAh BatteryUnisoc Spreadtrum SC9863A1 Processor1 Year on Handset and 6 Months on Accessories
"LAVA Blaze (Glass Green, 64 GB)","₹9,699","₹7,999",4,"1,292 Ratings & 332 Reviews",Yes,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP Triple AI Camera + 8MP front camera | 8MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Helio A22 Processor1 Year Handset Warranty and 6 Months Warranty on Accessories
"REDMI 13c 5G (Startrail Silver, 128 GB)","₹15,999","₹12,499",4.2,"1,930 Ratings & 121 Reviews",Yes,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹25,999","₹17,999",4.2,"6,353 Ratings & 568 Reviews",Yes,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1280 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"Infinix SMART 7 (Azure Blue, 128 GB)","₹10,999","₹7,799",4.3,"1,35,535 Ratings & 6,843 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 5MP Front Camera6000 mAh BatteryUnisoc Spreadtrum SC9863A1 Processor1 Year on Handset and 6 Months on Accessories
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹19,999","₹17,885",4.4,"1,53,645 Ratings & 10,561 Reviews",Yes,6 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Display64MP Rear Camera | 16MP Front Camera5000 mAh Battery12 months
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,"₹9,990",4.1,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
"LAVA Blaze (Glass Green, 64 GB)","₹9,699","₹7,999",4,"1,292 Ratings & 332 Reviews",Yes,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP Triple AI Camera + 8MP front camera | 8MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Helio A22 Processor1 Year Handset Warranty and 6 Months Warranty on Accessories
"REDMI 12 (Jade Black, 128 GB)","₹14,999","₹9,499",4.3,"95,346 Ratings & 5,204 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"REDMI 12C (Royal Blue, 128 GB)","₹15,999","₹8,930",4.1,"4,447 Ratings & 225 Reviews",Yes,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Google Pixel 7a (Coral, 128 GB)","₹43,999","₹39,999",4.1,"16,230 Ratings & 1,799 Reviews",Yes,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP (OIS) + 13MP | 13MP Front Camera4300 mAh BatteryTensor G2 Processor1 Year Domestic Warranty
"Apple iPhone 15 (Green, 128 GB)","₹79,900","₹72,999",4.6,"16,874 Ratings & 1,160 Reviews",Yes,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"
