Title,Original_Price,Offer_Price,Stars_out_of_5,Ratings,Flipkart_Assured,Specification
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹21,999","₹19,549",4.4,"58,750 Ratings & 4,140 Reviews",Yes,8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
"Motorola g54 5G (Mint Green, 256 GB)","₹21,999","₹15,999",4.2,"63,653 Ratings & 6,009 Reviews",Yes,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7020 Processor1 Year on Handset and 6 Months on Accessories
"POCO C55 (Power Black, 64 GB)","₹11,999","₹5,999",4.2,"1,10,099 Ratings & 6,848 Reviews",Yes,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Infinix SMART 8 (Timber Black, 64 GB)","₹8,999","₹7,099",4.3,"7,155 Ratings & 618 Reviews",Yes,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹19,999","₹18,396",4.4,"58,750 Ratings & 4,140 Reviews",Yes,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
"Motorola g54 5G (Mint Green, 128 GB)","₹17,999","₹13,999",4.2,"70,860 Ratings & 7,056 Reviews",Yes,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7020 Processor1 Year on Handset and 6 Months on Accessories
"REDMI 13C (Stardust Black, 128 GB)","₹11,999","₹7,999",4.3,"1,958 Ratings & 134 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,"₹12,999",4.4,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹19,999","₹18,101",4.4,"58,750 Ratings & 4,140 Reviews",Yes,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
"REDMI A2 (Sea Green, 64 GB)","₹9,999","₹5,299",4.2,"7,724 Ratings & 440 Reviews",Yes,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹18,990","₹12,195",4.2,"16,801 Ratings & 1,156 Reviews",Yes,6 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer for handset and 6 month for accessories
"REDMI A2 (Aqua Blue, 64 GB)","₹10,999","₹6,599",4.2,"20,399 Ratings & 1,174 Reviews",Yes,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"vivo T2x 5G (Marine Blue, 128 GB)","₹20,999","₹14,999",4.3,"64,632 Ratings & 3,898 Reviews",Yes,8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
"REDMI A2 (Classic Black, 64 GB)","₹9,999","₹5,299",4.2,"7,724 Ratings & 440 Reviews",Yes,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Motorola g54 5G (Midnight Blue, 256 GB)","₹21,999","₹15,999",4.2,"63,653 Ratings & 6,009 Reviews",Yes,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7020 Processor1 Year on Handset and 6 Months on Accessories
"vivo T2x 5G (Glimmer Black, 128 GB)","₹18,999","₹12,999",4.4,"3,61,183 Ratings & 20,343 Reviews",Yes,6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
"vivo T2x 5G (Marine Blue, 128 GB)","₹18,999","₹12,999",4.4,"3,61,183 Ratings & 20,343 Reviews",Yes,6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹11,999","₹7,999",4.2,941 Ratings & 126 Reviews,Yes,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + 2MP | 16MP Front Camera6000 mAh BatteryHelio G85 Processor1 Year on Handset and 6 Months on Accessories
"vivo T2x 5G (Aurora Gold, 128 GB)","₹17,999","₹11,999",4.4,"1,60,810 Ratings & 8,593 Reviews",Yes,4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
"vivo T2x 5G (Aurora Gold, 128 GB)","₹20,999","₹14,999",4.3,"64,632 Ratings & 3,898 Reviews",Yes,8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
"vivo T2x 5G (Glimmer Black, 128 GB)","₹17,999","₹11,999",4.4,"1,60,810 Ratings & 8,593 Reviews",Yes,4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
"vivo T2x 5G (Glimmer Black, 128 GB)","₹20,999","₹14,999",4.3,"64,632 Ratings & 3,898 Reviews",Yes,8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
"vivo T2x 5G (Marine Blue, 128 GB)","₹17,999","₹11,999",4.4,"1,60,810 Ratings & 8,593 Reviews",Yes,4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
"POCO C55 (Forest Green, 64 GB)","₹11,999","₹5,999",4.2,"1,10,099 Ratings & 6,848 Reviews",Yes,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI 13C (Starfrost White, 128 GB)","₹13,999","₹8,799",4.2,"1,114 Ratings & 68 Reviews",Yes,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI 13C (Starshine Green, 128 GB)","₹13,999","₹8,799",4.2,"1,114 Ratings & 68 Reviews",Yes,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI A2 (Aqua Blue, 64 GB)","₹9,999","₹5,299",4.2,"7,724 Ratings & 440 Reviews",Yes,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"vivo T2x 5G (Black Gladiator, 128 GB)","₹18,999","₹12,999",4.4,"3,61,183 Ratings & 20,343 Reviews",Yes,6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
"vivo T2 5G (Nitro Blaze, 128 GB)","₹24,999","₹17,999",4.3,"17,135 Ratings & 1,213 Reviews",Yes,8 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories
"vivo T2 5G (Velocity Wave, 128 GB)","₹23,999","₹15,999",4.4,"99,769 Ratings & 6,591 Reviews",Yes,6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories
"vivo T2 5G (Nitro Blaze, 128 GB)","₹23,999","₹15,999",4.4,"99,769 Ratings & 6,591 Reviews",Yes,6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories
"realme 11x 5G (Midnight Black, 128 GB)","₹18,999","₹13,999",4.3,"15,012 Ratings & 991 Reviews",Yes,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,"₹15,999",4.2,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
"REDMI 13C (Starshine Green, 128 GB)","₹11,999","₹7,999",4.3,"1,958 Ratings & 134 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Motorola g84 5G (Viva Magenta, 256 GB)","₹22,999","₹17,999",4.2,"33,047 Ratings & 3,449 Reviews",Yes,12 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 Processor1 Year on Handset and 6 Months on Accessories
"vivo T2 5G (Nitro Blaze, 128 GB)","₹23,999","₹15,999",4.4,"99,769 Ratings & 6,591 Reviews",Yes,6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories
"Motorola G34 5G (Ocean Green, 128 GB)","₹13,999","₹10,999",4.2,"13,322 Ratings & 1,424 Reviews",Yes,4 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories
"Motorola G34 5G (Charcoal Black, 128 GB)","₹13,999","₹10,999",4.2,"13,322 Ratings & 1,424 Reviews",Yes,4 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories
"Infinix SMART 8 HD (Shiny Gold, 64 GB)","₹7,999","₹6,399",4.3,"20,239 Ratings & 1,684 Reviews",Yes,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 8MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
"REDMI 13C (Stardust Black, 128 GB)","₹11,999","₹7,999",4.3,"1,958 Ratings & 134 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Motorola Edge 40 Neo (Soothing Sea, 256 GB)","₹29,999","₹24,999",4.3,"37,801 Ratings & 5,036 Reviews",No,12 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh BatteryDimensity 7030 Processor1 Year on Handset and 6 Months on Accessories
"realme 11x 5G (Midnight Black, 128 GB)","₹16,999","₹12,999",4.4,"1,20,607 Ratings & 7,719 Reviews",Yes,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme 11x 5G (Purple Dawn, 128 GB)","₹16,999","₹12,999",4.4,"1,20,607 Ratings & 7,719 Reviews",Yes,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
